doi,date,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_views,version_unique_views
10.5281/zenodo.8360337,2024-12-16,43,34,233,212,32,24,206,202
10.5281/zenodo.6992065,2024-12-16,945,483,225,196,945,483,224,195
10.5281/zenodo.2653735,2024-12-16,662,465,216,203,662,465,215,202
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.3874378,2024-12-16,124,93,348,338,81,63,205,196
10.5281/zenodo.15550,2024-12-16,190,141,392,386,187,138,391,385
10.5281/zenodo.259443,2024-12-16,646,319,278,267,646,319,278,267
10.5281/zenodo.259341,2024-12-16,639,400,146,141,639,400,145,140
10.5281/zenodo.3332778,2024-12-16,901,379,518,486,777,313,336,310
10.5281/zenodo.7022749,2024-12-16,1132,755,313,282,792,544,210,179
10.5281/zenodo.6336691,2024-12-16,126,105,223,220,126,105,223,220
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.6335769,2024-12-16,90,83,257,256,90,83,256,255
10.5281/zenodo.16292,2024-12-16,155,113,517,508,155,113,517,508
10.5281/zenodo.1129425,2024-12-16,168,101,370,359,168,101,368,357
10.5281/zenodo.3950029,2024-12-16,653,374,342,315,653,374,342,315
10.5281/zenodo.259376,2024-12-16,535,321,178,164,535,321,177,163
10.5281/zenodo.34490,2024-12-16,93,74,331,324,93,74,331,324
